Step,Signal
0,0
1,0.0941083
2,0.187381
3,0.278991
4,0.368125
5,0.45399
6,0.535827
7,0.612907
8,0.684547
9,0.750111
10,0.809017
11,0.860742
12,0.904827
13,0.940881
14,0.968583
15,0.987688
16,0.998027
17,0.999507
18,0.992115
19,0.975917
20,0.951057
21,0.917755
22,0.876307
23,0.827081
24,0.770513
25,0.707107
26,0.637424
27,0.562083
28,0.481754
29,0.397148
30,0.309017
31,0.218143
32,0.125333
33,0.0314108
34,-0.0627905
35,-0.156434
36,-0.24869
37,-0.338738
38,-0.425779
39,-0.509041
40,-0.587785
41,-0.661312
42,-0.728969
43,-0.790155
44,-0.844328
45,-0.891007
46,-0.929776
47,-0.960294
48,-0.982287
49,-0.995562
50,-1
51,-0.995562
52,-0.982287
53,-0.960294
54,-0.929776
55,-0.891007
56,-0.844328
57,-0.790155
58,-0.728969
59,-0.661312
60,-0.587785
61,-0.509041
62,-0.425779
63,-0.338738
64,-0.24869
65,-0.156434
66,-0.0627905
67,0.0314108
68,0.125333
69,0.218143
70,0.309017
71,0.397148
72,0.481754
73,0.562083
74,0.637424
75,0.707107
76,0.770513
77,0.827081
78,0.876307
79,0.917755
80,0.951057
81,0.975917
82,0.992115
83,0.999507
84,0.998027
85,0.987688
86,0.968583
87,0.940881
88,0.904827
89,0.860742
90,0.809017
91,0.750111
92,0.684547
93,0.612907
94,0.535827
95,0.45399
96,0.368125
97,0.278991
98,0.187381
99,0.0941083
100,3.67394e-16
101,-0.0941083
102,-0.187381
103,-0.278991
104,-0.368125
105,-0.45399
106,-0.535827
107,-0.612907
108,-0.684547
109,-0.750111
110,-0.809017
111,-0.860742
112,-0.904827
113,-0.940881
114,-0.968583
115,-0.987688
116,-0.998027
117,-0.999507
118,-0.992115
119,-0.975917
120,-0.951057
121,-0.917755
122,-0.876307
123,-0.827081
124,-0.770513
125,-0.707107
126,-0.637424
127,-0.562083
128,-0.481754
129,-0.397148
130,-0.309017
131,-0.218143
132,-0.125333
133,-0.0314108
134,0.0627905
135,0.156434
136,0.24869
137,0.338738
138,0.425779
139,0.509041
140,0.587785
141,0.661312
142,0.728969
143,0.790155
144,0.844328
145,0.891007
146,0.929776
147,0.960294
148,0.982287
149,0.995562
150,1
151,0.995562
152,0.982287
153,0.960294
154,0.929776
155,0.891007
156,0.844328
157,0.790155
158,0.728969
159,0.661312
160,0.587785
161,0.509041
162,0.425779
163,0.338738
164,0.24869
165,0.156434
166,0.0627905
167,-0.0314108
168,-0.125333
169,-0.218143
170,-0.309017
171,-0.397148
172,-0.481754
173,-0.562083
174,-0.637424
175,-0.707107
176,-0.770513
177,-0.827081
178,-0.876307
179,-0.917755
180,-0.951057
181,-0.975917
182,-0.992115
183,-0.999507
184,-0.998027
185,-0.987688
186,-0.968583
187,-0.940881
188,-0.904827
189,-0.860742
190,-0.809017
191,-0.750111
192,-0.684547
193,-0.612907
194,-0.535827
195,-0.45399
196,-0.368125
197,-0.278991
198,-0.187381
199,-0.0941083
200,-7.34788e-16
201,0.0941083
202,0.187381
203,0.278991
204,0.368125
205,0.45399
206,0.535827
207,0.612907
208,0.684547
209,0.750111
210,0.809017
211,0.860742
212,0.904827
213,0.940881
214,0.968583
215,0.987688
216,0.998027
217,0.999507
218,0.992115
219,0.975917
220,0.951057
221,0.917755
222,0.876307
223,0.827081
224,0.770513
225,0.707107
226,0.637424
227,0.562083
228,0.481754
229,0.397148
230,0.309017
231,0.218143
232,0.125333
233,0.0314108
234,-0.0627905
235,-0.156434
236,-0.24869
237,-0.338738
238,-0.425779
239,-0.509041
240,-0.587785
241,-0.661312
242,-0.728969
243,-0.790155
244,-0.844328
245,-0.891007
246,-0.929776
247,-0.960294
248,-0.982287
249,-0.995562
250,-1
251,-0.995562
252,-0.982287
253,-0.960294
254,-0.929776
255,-0.891007
256,-0.844328
257,-0.790155
258,-0.728969
259,-0.661312
260,-0.587785
261,-0.509041
262,-0.425779
263,-0.338738
264,-0.24869
265,-0.156434
266,-0.0627905
267,0.0314108
268,0.125333
269,0.218143
270,0.309017
271,0.397148
272,0.481754
273,0.562083
274,0.637424
275,0.707107
276,0.770513
277,0.827081
278,0.876307
279,0.917755
280,0.951057
281,0.975917
282,0.992115
283,0.999507
284,0.998027
285,0.987688
286,0.968583
287,0.940881
288,0.904827
289,0.860742
290,0.809017
291,0.750111
292,0.684547
293,0.612907
294,0.535827
295,0.45399
296,0.368125
297,0.278991
298,0.187381
299,0.0941083
300,4.6549e-15
301,-0.0941083
302,-0.187381
303,-0.278991
304,-0.368125
305,-0.45399
306,-0.535827
307,-0.612907
308,-0.684547
309,-0.750111
310,-0.809017
311,-0.860742
312,-0.904827
313,-0.940881
314,-0.968583
315,-0.987688
316,-0.998027
317,-0.999507
318,-0.992115
319,-0.975917
320,-0.951057
321,-0.917755
322,-0.876307
323,-0.827081
324,-0.770513
325,-0.707107
326,-0.637424
327,-0.562083
328,-0.481754
329,-0.397148
330,-0.309017
331,-0.218143
332,-0.125333
333,-0.0314108
334,0.0627905
335,0.156434
336,0.24869
337,0.338738
338,0.425779
339,0.509041
340,0.587785
341,0.661312
342,0.728969
343,0.790155
344,0.844328
345,0.891007
346,0.929776
347,0.960294
348,0.982287
349,0.995562
350,1
351,0.995562
352,0.982287
353,0.960294
354,0.929776
355,0.891007
356,0.844328
357,0.790155
358,0.728969
359,0.661312
360,0.587785
361,0.509041
362,0.425779
363,0.338738
364,0.24869
365,0.156434
366,0.0627905
367,-0.0314108
368,-0.125333
369,-0.218143
370,-0.309017
371,-0.397148
372,-0.481754
373,-0.562083
374,-0.637424
375,-0.707107
376,-0.770513
377,-0.827081
378,-0.876307
379,-0.917755
380,-0.951057
381,-0.975917
382,-0.992115
383,-0.999507
384,-0.998027
385,-0.987688
386,-0.968583
387,-0.940881
388,-0.904827
389,-0.860742
390,-0.809017
391,-0.750111
392,-0.684547
393,-0.612907
394,-0.535827
395,-0.45399
396,-0.368125
397,-0.278991
398,-0.187381
399,-0.0941083
400,-1.46958e-15
401,0.0941083
402,0.187381
403,0.278991
404,0.368125
405,0.45399
406,0.535827
407,0.612907
408,0.684547
409,0.750111
410,0.809017
411,0.860742
412,0.904827
413,0.940881
414,0.968583
415,0.987688
416,0.998027
417,0.999507
418,0.992115
419,0.975917
420,0.951057
421,0.917755
422,0.876307
423,0.827081
424,0.770513
425,0.707107
426,0.637424
427,0.562083
428,0.481754
429,0.397148
430,0.309017
431,0.218143
432,0.125333
433,0.0314108
434,-0.0627905
435,-0.156434
436,-0.24869
437,-0.338738
438,-0.425779
439,-0.509041
440,-0.587785
441,-0.661312
442,-0.728969
443,-0.790155
444,-0.844328
445,-0.891007
446,-0.929776
447,-0.960294
448,-0.982287
449,-0.995562
450,-1
451,-0.995562
452,-0.982287
453,-0.960294
454,-0.929776
455,-0.891007
456,-0.844328
457,-0.790155
458,-0.728969
459,-0.661312
460,-0.587785
461,-0.509041
462,-0.425779
463,-0.338738
464,-0.24869
465,-0.156434
466,-0.0627905
467,0.0314108
468,0.125333
469,0.218143
470,0.309017
471,0.397148
472,0.481754
473,0.562083
474,0.637424
475,0.707107
476,0.770513
477,0.827081
478,0.876307
479,0.917755
480,0.951057
481,0.975917
482,0.992115
483,0.999507
484,0.998027
485,0.987688
486,0.968583
487,0.940881
488,0.904827
489,0.860742
490,0.809017
491,0.750111
492,0.684547
493,0.612907
494,0.535827
495,0.45399
496,0.368125
497,0.278991
498,0.187381
499,0.0941083
500,5.38968e-15
501,-0.0941083
502,-0.187381
503,-0.278991
504,-0.368125
505,-0.45399
506,-0.535827
507,-0.612907
508,-0.684547
509,-0.750111
510,-0.809017
511,-0.860742
512,-0.904827
513,-0.940881
514,-0.968583
515,-0.987688
516,-0.998027
517,-0.999507
518,-0.992115
519,-0.975917
520,-0.951057
521,-0.917755
522,-0.876307
523,-0.827081
524,-0.770513
525,-0.707107
526,-0.637424
527,-0.562083
528,-0.481754
529,-0.397148
530,-0.309017
531,-0.218143
532,-0.125333
533,-0.0314108
534,0.0627905
535,0.156434
536,0.24869
537,0.338738
538,0.425779
539,0.509041
540,0.587785
541,0.661312
542,0.728969
543,0.790155
544,0.844328
545,0.891007
546,0.929776
547,0.960294
548,0.982287
549,0.995562
550,1
551,0.995562
552,0.982287
553,0.960294
554,0.929776
555,0.891007
556,0.844328
557,0.790155
558,0.728969
559,0.661312
560,0.587785
561,0.509041
562,0.425779
563,0.338738
564,0.24869
565,0.156434
566,0.0627905
567,-0.0314108
568,-0.125333
569,-0.218143
570,-0.309017
571,-0.397148
572,-0.481754
573,-0.562083
574,-0.637424
575,-0.707107
576,-0.770513
577,-0.827081
578,-0.876307
579,-0.917755
580,-0.951057
581,-0.975917
582,-0.992115
583,-0.999507
584,-0.998027
585,-0.987688
586,-0.968583
587,-0.940881
588,-0.904827
589,-0.860742
590,-0.809017
591,-0.750111
592,-0.684547
593,-0.612907
594,-0.535827
595,-0.45399
596,-0.368125
597,-0.278991
598,-0.187381
599,-0.0941083
600,-9.30979e-15
601,0.0941083
602,0.187381
603,0.278991
604,0.368125
605,0.45399
606,0.535827
607,0.612907
608,0.684547
609,0.750111
610,0.809017
611,0.860742
612,0.904827
613,0.940881
614,0.968583
615,0.987688
616,0.998027
617,0.999507
618,0.992115
619,0.975917
620,0.951057
621,0.917755
622,0.876307
623,0.827081
624,0.770513
625,0.707107
626,0.637424
627,0.562083
628,0.481754
629,0.397148
630,0.309017
631,0.218143
632,0.125333
633,0.0314108
634,-0.0627905
635,-0.156434
636,-0.24869
637,-0.338738
638,-0.425779
639,-0.509041
640,-0.587785
641,-0.661312
642,-0.728969
643,-0.790155
644,-0.844328
645,-0.891007
646,-0.929776
647,-0.960294
648,-0.982287
649,-0.995562
650,-1
651,-0.995562
