Step,Signal
0,-0.0845104
1,0.177765
2,0.184927
3,0.181979
4,0.17044
5,0.424409
6,0.567487
7,0.752743
8,0.579659
9,0.623214
10,0.655969
11,0.67075
12,0.912236
13,0.82279
14,0.705479
15,0.711218
16,0.64479
17,0.752744
18,0.725904
19,0.816386
20,0.904541
21,0.75675
22,0.843384
23,0.719323
24,0.538792
25,0.461943
26,0.376106
27,0.529673
28,0.544623
29,0.473309
30,0.168665
31,-0.000875234
32,-0.154608
33,-0.0574326
34,-0.31721
35,-0.268108
36,-0.321201
37,-0.485093
38,-0.423625
39,-0.457
40,-0.505648
41,-0.737836
42,-0.804333
43,-0.713879
44,-0.734126
45,-0.766532
46,-0.815836
47,-0.873101
48,-0.764478
49,-1.01494
50,-1.14483
51,-1.16936
52,-1.11887
53,-1.12871
54,-1.06784
55,-0.874084
56,-0.784693
57,-0.84363
58,-0.933734
59,-0.804104
60,-0.598184
61,-0.679581
62,-0.457683
63,-0.336939
64,-0.335783
65,-0.242432
66,-0.014781
67,-0.106636
68,-0.112302
69,-0.0783763
70,0.256385
71,0.168134
72,0.293399
73,0.484562
74,0.416787
75,0.509352
76,0.640623
77,0.696122
78,0.749889
79,0.912117
80,0.725398
81,0.761331
82,0.837546
83,0.992028
84,1.00676
85,1.05252
86,1.05442
87,0.968489
88,1.02205
89,1.02476
90,1.01596
91,0.996012
92,0.701203
93,0.775206
94,0.828149
95,0.742763
96,0.440005
97,0.214009
98,0.0934191
99,0.196717
100,-0.108202
101,-0.0741134
102,-0.293913
103,-0.292749
104,-0.310938
105,-0.257232
106,-0.367715
107,-0.585529
108,-0.527292
109,-0.709778
110,-0.939416
111,-0.847076
112,-1.02926
113,-0.99565
114,-0.95977
115,-1.07182
116,-1.05814
117,-0.903257
118,-0.79262
119,-0.924876
120,-0.989922
121,-1.01061
122,-0.932443
123,-0.986737
124,-1.01461
125,-0.709477
126,-0.701562
127,-0.634996
128,-0.577823
129,-0.475673
130,-0.551592
131,-0.399381
132,-0.194766
133,-0.0128601
134,-0.0578785
135,0.0939867
136,0.0768174
137,0.0578717
138,0.401466
139,0.317004
140,0.471843
141,0.393661
142,0.56151
143,0.473774
144,0.772172
145,0.763735
146,0.800992
147,0.90094
148,0.814487
149,0.842101
150,0.99411
151,0.881001
152,0.762304
153,0.964844
154,0.793541
155,0.655651
156,0.793394
157,0.691964
158,0.671661
159,0.60164
160,0.537689
161,0.403601
162,0.414407
163,0.161405
164,-0.0123497
165,0.125557
166,-0.00789905
167,-0.0612593
168,-0.13316
169,-0.367265
170,-0.364154
171,-0.596387
172,-0.47644
173,-0.514904
174,-0.629185
175,-0.56098
176,-0.674876
177,-0.686361
178,-0.921642
179,-0.902915
180,-0.917998
181,-0.940158
182,-1.10299
183,-0.978106
184,-1.13161
185,-1.09649
186,-1.18928
187,-0.9952
188,-0.826
189,-0.922746
190,-0.704454
191,-0.823328
192,-0.734457
193,-0.628762
194,-0.671883
195,-0.54774
196,-0.622561
197,-0.52667
198,-0.322481
199,-0.0945066
200,-0.0356516
201,0.103808
202,0.238276
203,0.269788
204,0.242945
205,0.510042
206,0.398689
207,0.669793
208,0.541262
209,0.495587
210,0.597676
211,0.790733
212,0.895584
213,1.0129
214,1.09392
215,1.148
216,1.21326
217,0.959727
218,0.889646
219,1.03585
220,1.12701
221,1.14847
222,0.969861
223,0.848296
224,0.939262
225,0.676308
226,0.606439
227,0.604455
228,0.66681
229,0.48323
230,0.378656
231,0.271081
232,0.000927123
233,-0.0818123
234,-0.192318
235,-0.329755
236,-0.274699
237,-0.544155
238,-0.656305
239,-0.744905
240,-0.642455
241,-0.749245
242,-0.772115
243,-0.816877
244,-0.964114
245,-1.15251
246,-1.13468
247,-1.08931
248,-0.949882
249,-1.06698
250,-0.997491
251,-1.13128
252,-1.1115
253,-0.906869
254,-0.851267
255,-1.01251
256,-0.795027
257,-0.75977
258,-0.779327
259,-0.840717
260,-0.62982
261,-0.472405
262,-0.541672
263,-0.296159
264,-0.0980688
265,-0.141034
266,-0.214743
267,-0.026031
268,0.192504
269,0.3073
270,0.47974
271,0.468708
272,0.353561
273,0.411134
274,0.695115
275,0.686765
276,0.75167
277,0.950078
278,0.760103
279,0.898984
280,1.07426
281,1.01979
282,0.968213
283,1.13112
284,1.12419
285,0.963049
286,1.01551
287,0.942581
288,0.900969
289,0.7056
290,0.849052
291,0.820151
292,0.699577
293,0.521137
294,0.622431
295,0.438634
296,0.398747
297,0.447016
298,0.458738
299,0.356526
300,0.0592313
301,0.134118
302,0.0962794
303,-0.228206
304,-0.425198
305,-0.435084
306,-0.635698
307,-0.696052
308,-0.59886
309,-0.632158
310,-0.790491
311,-0.706717
312,-0.8575
313,-0.766722
314,-0.759734
315,-0.662919
316,-0.867147
317,-0.710127
318,-0.659918
319,-0.702396
320,-0.894495
321,-0.64623
322,-0.505236
323,-0.654575
324,-0.65547
325,-0.500343
326,-0.627093
327,-0.48122
328,-0.521646
329,-0.42614
330,-0.286638
331,-0.244677
332,-0.0128777
333,-0.10706
334,-0.0318433
335,0.275314
336,0.272321
337,0.293571
338,0.419441
339,0.400216
340,0.424405
341,0.731341
342,0.824049
343,0.709133
344,0.769601
345,0.677331
346,0.761427
347,0.837741
348,1.05973
349,1.14945
350,1.09176
351,1.01959
352,1.06777
353,1.11636
354,0.860212
355,0.88794
356,1.00554
357,0.990696
358,0.766359
359,0.831739
360,0.783439
361,0.741325
362,0.702455
363,0.565481
364,0.493752
365,0.304404
366,0.0706939
367,-0.0116776
368,0.0345113
369,-0.104371
370,-0.263472
371,-0.454518
372,-0.339228
373,-0.487351
374,-0.536132
375,-0.795247
376,-0.697093
377,-0.88283
378,-0.920912
379,-0.819999
380,-0.89182
381,-0.919749
382,-1.11529
383,-0.894413
384,-0.82869
385,-0.93377
386,-0.947811
387,-0.892001
388,-0.768557
389,-0.608137
390,-0.676631
391,-0.714485
392,-0.572425
393,-0.45348
394,-0.266601
395,-0.247946
396,-0.156138
397,0.00640077
398,0.109916
399,0.0645937
400,0.179389
401,0.140921
402,0.333351
403,0.41624
404,0.4177
405,0.529032
406,0.652463
407,0.855198
408,0.812912
409,0.764085
410,0.736917
411,0.913584
412,1.02136
413,1.14174
414,1.07012
415,1.24821
416,1.16679
417,1.18116
418,0.985499
419,1.01174
420,0.900219
421,0.994112
422,1.10981
423,0.839153
424,0.959507
425,0.759906
426,0.57638
427,0.723077
428,0.481472
429,0.584553
430,0.366584
431,0.164831
432,-0.0254422
433,-0.0410876
434,-0.250442
435,-0.107412
436,-0.0636263
437,-0.408045
438,-0.604235
439,-0.779978
