Step,Signal
0,-0.148417
1,0.715302
2,0.520328
3,-0.340057
4,0.92338
5,-0.267635
6,-0.0777131
7,1.28375
8,1.46654
9,1.24233
10,-0.3228
11,0.835877
12,0.0132437
13,0.103332
14,0.383933
15,0.152326
16,0.783421
17,0.255115
18,1.28026
19,0.318636
20,0.67228
21,0.374268
22,0.955286
23,0.0634651
24,-0.114618
25,1.38765
26,1.32943
27,0.906737
28,0.402242
29,-0.0065341
30,0.709349
31,0.509991
32,0.460075
33,0.4538
34,0.623186
35,-0.596279
36,-0.924726
37,-0.531047
38,-0.873799
39,-0.69023
40,-1.02326
41,-1.6096
42,-0.54523
43,-1.20739
44,-1.03316
45,-0.276881
46,-0.176342
47,-0.158713
48,-0.302941
49,-1.98689
50,-0.597045
51,-1.85576
52,-1.99489
53,-0.454317
54,-0.767536
55,-1.4564
56,0.0224638
57,-0.603774
58,-0.918784
59,-1.56582
60,-0.745779
61,-1.45446
62,-1.18545
63,-1.0359
64,-0.00462922
65,0.74929
66,0.875463
67,-0.746014
68,0.77305
69,-0.596007
70,0.676062
71,0.597468
72,0.595173
73,0.610582
74,0.521611
75,0.943033
76,0.378786
77,-0.0458973
78,0.119966
79,0.226462
80,0.471981
81,0.763804
82,1.58713
83,0.298121
84,0.457474
85,0.38887
86,1.99707
87,0.523748
88,1.73861
89,0.265972
90,0.991463
91,0.1333
92,0.356357
93,1.07797
94,0.365393
95,1.5956
96,1.17759
97,0.78669
98,-0.069448
99,-0.119027
100,-0.24652
101,-0.595025
102,0.302835
103,-0.413413
104,-0.0151898
105,-0.132486
106,0.260254
107,-1.58103
108,-0.785516
109,-0.702503
110,-1.43384
111,-0.487859
112,-1.87357
113,-0.655286
114,-0.198597
115,-1.72982
116,-0.94674
117,-0.61676
118,-0.59777
119,-1.2985
120,-1.11787
121,-1.07858
122,-1.75095
123,-1.38102
124,-1.71079
125,-0.883929
126,-1.08182
127,-1.53219
128,0.214167
129,0.157371
130,0.00211083
131,0.242621
132,-0.159237
133,-0.197226
134,-0.690493
135,-0.210266
136,0.945046
137,-0.343264
138,1.38243
139,0.664792
140,0.226771
141,1.36764
142,-0.141924
143,1.18369
144,1.56393
145,0.660582
146,0.573364
147,0.124214
148,1.50707
149,0.749138
150,1.65599
151,0.340838
152,1.06297
153,1.19891
154,0.949924
155,-0.0251938
156,0.869375
157,1.43746
158,0.822242
159,0.787051
160,0.662761
161,0.616225
162,1.06202
163,0.685428
164,-0.362693
165,-0.702861
166,0.384356
167,-0.425239
168,0.695298
169,0.0241559
170,0.381114
171,-0.273629
172,-0.733689
173,-1.29917
174,-0.741454
175,-1.47229
176,-0.510094
177,0.234976
178,-0.571651
179,-0.647748
180,-0.566962
181,-1.05865
182,-1.79618
183,-1.44186
184,-0.602764
185,-1.21351
186,-1.01603
187,-0.901462
188,-1.73533
189,-0.144416
190,-1.6153
191,-0.470526
192,-1.60793
193,-0.821906
194,-0.464847
195,-1.06603
196,-1.59704
197,-1.33108
198,-0.257567
199,-0.384298
200,-0.813302
201,-0.0312791
202,-0.013782
203,0.34626
204,-0.0135943
205,-0.180409
206,1.07204
207,0.860541
208,1.06364
209,0.126212
210,1.21362
211,1.62199
212,1.21565
213,1.60463
214,1.91716
215,0.292874
216,1.42704
217,1.15362
218,1.04674
219,0.501659
220,0.299226
221,0.962076
222,0.262529
223,0.177596
224,0.444899
225,0.74648
226,1.07619
227,0.864261
228,0.0436004
229,0.426882
230,1.29056
231,-0.710477
232,-0.903584
233,-0.763857
234,0.254811
235,0.0998951
236,-1.06648
237,0.452154
238,-1.63599
239,0.0537434
240,-1.14839
241,-0.929194
242,0.0904055
243,-0.0824808
244,-0.246789
245,-1.87157
246,-2.05372
247,-1.1716
248,-1.50872
249,-0.941341
250,-0.493145
251,-0.217964
252,-1.05572
253,-1.77313
254,-1.76668
255,-0.268245
256,0.0817622
257,-0.589892
258,-0.791593
259,0.0241414
260,-0.259755
261,0.22045
262,-0.491021
263,-0.579664
264,-0.366475
265,0.152065
266,0.143711
267,0.451974
268,-0.125139
269,0.119876
270,0.77307
271,-0.125332
272,0.304069
273,-0.270191
274,1.51435
275,0.609264
276,0.0347305
277,0.617666
278,0.881331
279,0.755043
280,1.71185
281,0.0779377
